# Failures likely due to lavapipe (i.e. the intersection of observed failures and lvp-fails.txt)
dEQP-VK.glsl.crash_test.divbyzero_comp,Crash
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.descriptor_array.3d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_discontiguous_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.cube,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.descriptor_array.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_contiguous_descriptors.1d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.2d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.single_descriptor.1d_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.single_descriptor.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_eval.single_descriptor.2d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.descriptor_array.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.descriptor_array.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.1d_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.2d,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.cube,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_discontiguous_descriptors.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_discontiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.multiple_arbitrary_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.multiple_contiguous_descriptors.2d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.multiple_contiguous_descriptors.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.multiple_contiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.multiple_discontiguous_descriptors.cube_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.single_descriptor.2d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.vertex.single_descriptor.cube_base_mip,Fail
dEQP-VK.multiview.queries.15_15_15_15,Fail
dEQP-VK.multiview.queries.15,Fail
dEQP-VK.multiview.queries.5_10_5_10,Fail
dEQP-VK.multiview.renderpass2.queries.15_15_15_15,Fail
dEQP-VK.multiview.renderpass2.queries.15,Fail
dEQP-VK.multiview.renderpass2.queries.5_10_5_10,Fail
dEQP-VK.pipeline.extended_dynamic_state.after_pipelines.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.before_draw.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.between_pipelines.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.cmd_buffer_start.enable_raster,Fail
dEQP-VK.pipeline.extended_dynamic_state.two_draws_dynamic.enable_raster,Fail
