dEQP-GLES31.functional.ssbo.layout.random.all_shared_buffer.12,Crash
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8a8_srgb.r8g8_srgb.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc1_rgb_unorm_block.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc1_rgba_unorm_block.r32g32b32a32_sfloat.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc4_unorm_block.r8_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc5_snorm_block.b8g8r8a8_sscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc5_unorm_block.r8g8b8a8_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc6h_ufloat_block.a2r10g10b10_uscaled_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.eac_r11_snorm_block.a1r5g5b5_unorm_pack16.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8_unorm_block.r16g16b16a16_unorm.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8a1_unorm_block.r32g32_sfloat.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8a8_srgb_block.b8g8r8a8_srgb.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r10x6g10x6b10x6a10x6_unorm_4pack16.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16_sfloat.r8g8b8_sscaled.general_general_linear,Fail
