dEQP-GLES31.functional.ssbo.layout.random.all_shared_buffer.12,Crash
dEQP-VK.glsl.indexing.varying_array.vec4_dynamic_loop_write_dynamic_loop_read,Fail
dEQP-VK.glsl.matrix.mul.const.highp_vec2_mat4x2_vertex,Fail
dEQP-VK.glsl.operator.binary_operator.div.highp_ivec2_vertex,Fail
dEQP-VK.glsl.operator.binary_operator.mod_assign_effect.highp_uvec2_vertex,Fail
dEQP-VK.glsl.swizzles.vector_swizzles.mediump_ivec3_zzy_vertex,Fail
dEQP-VK.glsl.texture_functions.texturegradoffset.sampler1darrayshadow_fragment,Fail
dEQP-VK.glsl.texture_gather.basic.cube.depth32f.no_corners.size_pot.compare_greater.sparse_clamp_to_edge_repeat,Fail
dEQP-VK.image.atomic_operations.add.cube_array.notransfer.normal_read.normal_img.r64i_intermediate_values,Fail
dEQP-VK.image.extended_usage_bit.attachment_write.r16g16_uint,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.astc_5x4_srgb_block_optimal_video_decode_dpb_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.b8g8r8a8_sint_optimal_transient_attachment_bit,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties.bc1_rgba_unorm_block_linear_transfer_src_bit,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.astc_8x8_unorm_block_linear_video_decode_dst_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.r16g16b16_sscaled_optimal_video_encode_src_bit_khr,Fail
dEQP-VK.image.extended_usage_bit_compatibility.image_format_properties2.r64g64_sfloat_optimal_transient_attachment_bit,Fail
dEQP-VK.image.load_store_lod.without_format.cube_array.r16g16_uint,Fail
dEQP-VK.image.mutable.2d_array.r16g16_sfloat_r16g16_uint_copy_load_format_list,Fail
dEQP-VK.image.mutable.2d_array.r16g16_uint_r8g8b8a8_uint_clear_copy_format_list,Fail
dEQP-VK.image.mutable.2d_array.r8g8b8a8_srgb_r16g16_uint_copy_load_format_list,Fail
dEQP-VK.image.store.with_format.1d.r8g8b8a8_unorm_constant,Fail
dEQP-VK.image.store.without_format.3d.r8_snorm,Fail
dEQP-VK.image.subresource_layout.3d.1_level.r8_uint,Fail
dEQP-VK.image.swapchain_mutable.macos.2d_array.r8g8b8a8_srgb_r8g8b8a8_snorm_draw_copy_format_list,Fail
dEQP-VK.image.swapchain_mutable.wayland.2d_array.b8g8r8a8_srgb_r8g8b8a8_unorm_clear_texture_format_list,Fail
dEQP-VK.image.swapchain_mutable.xlib.2d.r8g8b8a8_srgb_r8g8b8a8_unorm_clear_load_format_list,Fail
dEQP-VK.image.texel_view_compatible.compute.basic.2d_image.texel_fetch.bc6h_ufloat_block.r32g32b32a32_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.basic.1d_image.texture_write.astc_8x6_unorm_block.r32g32b32a32_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.basic.3d_image.texture_write.etc2_r8g8b8a1_unorm_block.r16g16b16a16_sint,Fail
dEQP-VK.image.texel_view_compatible.graphic.extended.2d_image.attachment_read.astc_10x10_unorm_block.r32g32b32a32_sint,Fail
dEQP-VK.memory_model.message_passing.ext.f64.coherent.atomic_atomic.atomicwrite.device.payload_nonlocal.buffer.guard_local.buffer.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u32.coherent.atomic_atomic.atomicwrite.device.payload_local.image.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u32.coherent.fence_fence.atomicwrite.subgroup.payload_nonlocal.image.guard_nonlocal.physbuffer.frag,Fail
dEQP-VK.memory_model.message_passing.ext.u64.coherent.atomic_atomic.atomicwrite.queuefamily.payload_nonlocal.workgroup.guard_nonlocal.workgroup.comp,Fail
dEQP-VK.memory_model.message_passing.ext.u64.noncoherent.atomic_atomic.atomicrmw.device.payload_nonlocal.image.guard_local.buffer.vert,Fail
dEQP-VK.memory_model.write_after_read.ext.f32.coherent.atomic_atomic.atomicwrite.subgroup.payload_local.physbuffer.guard_nonlocal.physbuffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.f32.noncoherent.atomic_atomic.atomicrmw.queuefamily.payload_nonlocal.workgroup.guard_local.image.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.f64.noncoherent.atomic_atomic.atomicrmw.subgroup.payload_nonlocal.physbuffer.guard_local.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.atomic_fence.atomicwrite.queuefamily.payload_local.physbuffer.guard_local.physbuffer.vert,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.control_barrier.atomicwrite.workgroup.payload_local.buffer.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.coherent.fence_fence.atomicwrite.device.payload_local.buffer.guard_nonlocal.buffer.comp,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.noncoherent.atomic_atomic.atomicrmw.subgroup.payload_nonlocal.image.guard_local.physbuffer.frag,Fail
dEQP-VK.memory_model.write_after_read.ext.u32.noncoherent.atomic_fence.atomicwrite.queuefamily.payload_nonlocal.image.guard_local.buffer.frag,Fail
dEQP-VK.mesh_shader.nv.in_out.with_f16.permutation_13.mesh_only,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.a4r4g4b4_unorm_pack16.states.color_1msc_1ms1c_sub_alpha_da_z_min-color_sa_cc_max_alpha_sc_sa_min-color_o_s1c_sub_alpha_1msa_sa_add-color_sa_1mda_rsub_alpha_cc_sc_add,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.r16_unorm.states.color_cc_1msc_rsub_alpha_sc_1mdc_sub-color_1ms1c_sas_sub_alpha_s1c_sas_max-color_dc_sa_sub_alpha_sa_1msa_add-color_s1c_sc_add_alpha_z_o_min,Fail
dEQP-VK.pipeline.fast_linked_library.blend.dual_source.format.r16g16b16a16_snorm.states.color_1msa_1mdc_max_alpha_s1a_ca_max-color_1mda_cc_min_alpha_sas_dc_sub-color_1ms1a_sc_sub_alpha_z_dc_max-color_sc_dc_sub_alpha_s1c_o_min,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.a4b4g4r4_unorm_pack16.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r16_snorm.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r16g16b16a16_sfloat.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend.format.r8g8_srgb.states.color_1mca_sa_min_alpha_cc_sas_rsub-color_dc_sc_min_alpha_sas_dc_min-color_1mda_1msc_max_alpha_sa_1msc_max-color_cc_1mdc_min_alpha_1mda_1msc_rsub,Fail
dEQP-VK.pipeline.fast_linked_library.blend_operation_advanced.ops.color_attachments_2_blend_overlap_disjoint_ext_6,Fail
dEQP-VK.pipeline.fast_linked_library.blend_operation_advanced.ops.color_attachments_8_blend_overlap_conjoint_ext_nonpremultiplieddst_8,Fail
dEQP-VK.pipeline.fast_linked_library.cache.merge.vertex_stage_tessellation_control_stage_tessellation_evaluation_stage_fragment_stage.src_merged_misshit_dst_hit,Fail
dEQP-VK.pipeline.fast_linked_library.depth.format.d24_unorm_s8_uint.compare_ops.not_equal_greater_or_equal_greater_or_equal_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.depth_range_unrestricted.depthbounds.d16_unorm_compare_op_less_or_equal_clear_value_6_viewport_min_-12_max_12_dynamic_boundstest_min-4_max_4,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.after_pipelines.stencil_state_face_back_xt_dec_clamp_clear_1_ref_2_depthfail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.before_draw.stencil_state_face_back_eq_replace_clear_102_ref_102_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.before_good_static.stencil_state_face_front_ge_dec_clamp_clear_0_ref_0_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.between_pipelines.stencil_state_face_both_dual_xf_dec_wrap_clear_1_ref_1_fail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.between_pipelines.stencil_state_face_front_xf_inc_wrap_clear_254_ref_255_fail,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.cmd_buffer_start.stencil_state_face_both_single_le_dec_clamp_clear_1_ref_0_pass,Fail
dEQP-VK.pipeline.fast_linked_library.extended_dynamic_state.two_draws_static.stencil_state_face_back_le_inc_clamp_clear_254_ref_253_pass,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.1d_array.format.a2b10g10r10_unorm_pack32.count_1.size.3x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d.format.r32g32_sfloat.count_4.size.32x16,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d_array.format.astc_8x6_unorm_block.count_1.size.13x23_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.2d_array.format.r16g16b16a16_uscaled.count_1.size.32x32_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.combined.view_type.3d.format.eac_r11g11_unorm_block.count_1.size.32x16x8,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d.format.r16g16b16_sfloat.count_1.size.512x1,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d_array.format.r32g32b32a32_uint.count_1.size.443x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.1d_array.format.r8g8b8a8_sint.count_1.size.128x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d.format.r16g16b16a16_sscaled.count_8.size.13x23,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.astc_6x5_srgb_block.count_1.size.8x16_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.r16g16b16_uint.count_1.size.1x1_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.2d_array.format.r8_srgb.count_1.size.32x16_array_of_3,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.3d.format.etc2_r8g8b8a1_unorm_block.count_1.size.1x1x1,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.3d.format.r8g8b8a8_sint.count_1.size.17x11x5,Fail
dEQP-VK.pipeline.fast_linked_library.image.suballocation.sampling_type.separate.view_type.cube_array.format.r32g32b32a32_sfloat.count_4.size.32x32_array_of_36,Fail
dEQP-VK.pipeline.fast_linked_library.image_view.view_type.1d_array.format.b8g8r8a8_srgb.component_swizzle.g_b_a_r,Fail
dEQP-VK.pipeline.fast_linked_library.image_view.view_type.2d.format.r16g16b16a16_uscaled.component_swizzle.a_r_g_b,Fail
dEQP-VK.pipeline.fast_linked_library.image_view.view_type.2d_array.format.r8_unorm.component_swizzle.g_b_a_r,Fail
dEQP-VK.pipeline.fast_linked_library.image_view.view_type.3d.format.r16g16b16a16_sscaled.subresource_range.lod_base_mip_level,Fail
dEQP-VK.pipeline.fast_linked_library.interface_matching.decoration_mismatch.out_none_in_flat_member_of_structure_in_block_vert_tesc_tese_out_frag_in,Fail
dEQP-VK.pipeline.fast_linked_library.interface_matching.vector_length.out_ivec3_in_ivec3_member_of_structure_in_block_vert_out_frag_in,Fail
dEQP-VK.pipeline.fast_linked_library.logic_op.r8g8b8_uint.and,Fail
dEQP-VK.pipeline.fast_linked_library.multisample.sample_locations_ext.draw.stencil.samples_8.separate_renderpass_clear_attachments_dynamic,Fail
dEQP-VK.pipeline.fast_linked_library.multisample.variable_rate.4_32_fb_16_unused,Fail
dEQP-VK.pipeline.fast_linked_library.multisample_with_fragment_shading_rate.mixed_attachment_samples.verify_programmable_locations.coverage_8_color_4_depth_stencil_8.r8g8b8a8_unorm_d16_unorm_s8_uint,Fail
dEQP-VK.pipeline.fast_linked_library.multisample_with_fragment_shading_rate.sample_mask.mask_random.samples_16.primitive_point_sparse,Fail
dEQP-VK.pipeline.fast_linked_library.no_position.explicit_declarations.basic.single_view.v1_c0_e0_g0,Fail
dEQP-VK.pipeline.fast_linked_library.render_to_image.dedicated_allocation.2d.small.a2b10g10r10_unorm_pack32_s8_uint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.a1r5g5b5_unorm_pack16.rg1a.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.a2b10g10r10_snorm_pack32.r1ba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.a2r10g10b10_unorm_pack32.rgbi.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.a8b8g8r8_unorm_pack32.rg0a.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b4g4r4a4_unorm_pack16.rgb0.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b5g5r5a1_unorm_pack16.gbar.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8_sint.rgia.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8_snorm.r0ba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8_unorm.igba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8a8_snorm.argb.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8a8_srgb.riba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.b8g8r8a8_uint.0gba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16_snorm.barg.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16_uint.rgb1.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16_uint.rgia.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16b16_uint.gbar.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16b16_unorm.1gba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16b16a16_sint.riba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16b16a16_snorm.0gba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r16g16b16a16_unorm.argb.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r32g32_sint.r1ba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r32g32_uint.rgba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r32g32b32a32_sint.r0ba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r4g4b4a4_unorm_pack16.rgia.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8_snorm.argb.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8_uint.0gba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8g8_srgb.rgba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8g8b8_uint.barg.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8g8b8a8_sint.gbar.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8g8b8a8_snorm.1gba.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.border_swizzle.r8g8b8a8_srgb.rg1a.opaque_black.no_gather.with_swizzle_hint,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.exact_sampling.r32_sfloat.gradient.unnormalized_coords.edge_left,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.separate_stencil_usage.view_type.cube_array.format.d16_unorm_s8_uint.mipmap.nearest.lod.select_min_1,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d.format.a2b10g10r10_unorm_pack32.mag_reduce.comp_r_zero_zero_zero.max,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d.format.b8g8r8_sint.address_modes.uvw_mode_clamp_to_edge_mode_repeat_mode_mirror_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d.format.b8g8r8_snorm.address_modes.uvw_mode_repeat_mode_mirror_clamp_to_edge_mode_mirror_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d.format.r16g16b16_sfloat.address_modes.all_mode_clamp_to_border_custom_1011_formatless,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d_array.format.a4r4g4b4_unorm_pack16.mipmap.nearest.lod.select_bias_3_1,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d_array.format.r16g16_uint.min_filter.nearest,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.1d_unnormalized.format.r16_sfloat.address_modes.all_mode_clamp_to_border_custom_1000,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d.format.r16_sfloat.address_modes.uvw_mode_repeat_mode_clamp_to_border_mode_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d.format.r8g8b8_uint.address_modes.uvw_mode_repeat_mode_mirrored_repeat_mode_clamp_to_border,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d_array.format.a2b10g10r10_unorm_pack32.min_reduce.comp_r_g_b_a.average,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d_array.format.b8g8r8_sint.address_modes.uvw_mode_clamp_to_border_mode_clamp_to_edge_mode_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d_array.format.eac_r11g11_snorm_block.mag_reduce.comp_identity_zero_zero_zero.average,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.2d_array.format.r16g16b16_sfloat.address_modes.uvw_mode_mirrored_repeat_mode_clamp_to_edge_mode_repeat,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.3d.format.astc_8x6_unorm_block.address_modes.uvw_mode_clamp_to_edge_mode_mirrored_repeat_mode_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.3d.format.b5g5r5a1_unorm_pack16.min_filter.linear,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.3d.format.r32g32b32_uint.address_modes.all_mode_clamp_to_edge,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.cube_array.format.eac_r11g11_snorm_block.mipmap.linear.lod.select_bias_3_1,Fail
dEQP-VK.pipeline.fast_linked_library.sampler.view_type.cube_array.format.r8g8_snorm.min_filter.nearest,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint.states.fail_decc.pass_decc.dfail_repl.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint.states.fail_keep.pass_inv.dfail_keep.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint.states.fail_wrap.pass_incc.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint_separate_layouts.states.fail_decc.pass_repl.dfail_wrap.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint_separate_layouts.states.fail_keep.pass_incc.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint_separate_layouts.states.fail_repl.pass_incc.dfail_zero.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d16_unorm_s8_uint_separate_layouts.states.fail_wrap.pass_repl.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint.states.fail_decc.pass_zero.dfail_repl.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint.states.fail_keep.pass_repl.dfail_keep.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint.states.fail_repl.pass_zero.dfail_inv.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint.states.fail_wrap.pass_keep.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint_separate_layouts.states.fail_decw.pass_decw.dfail_keep.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint_separate_layouts.states.fail_incc.pass_decw.dfail_wrap.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint_separate_layouts.states.fail_inv.pass_decw.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint_separate_layouts.states.fail_keep.pass_keep.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d24_unorm_s8_uint_separate_layouts.states.fail_repl.pass_keep.dfail_zero.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint.states.fail_incc.pass_wrap.dfail_repl.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint.states.fail_inv.pass_inv.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint.states.fail_zero.pass_wrap.dfail_inv.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint_separate_layouts.states.fail_decw.pass_decc.dfail_keep.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint_separate_layouts.states.fail_incc.pass_decc.dfail_wrap.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.d32_sfloat_s8_uint_separate_layouts.states.fail_inv.pass_decc.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.s8_uint.states.fail_keep.pass_wrap.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.s8_uint.states.fail_repl.pass_wrap.dfail_zero.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.format.s8_uint.states.fail_wrap.pass_inv.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d16_unorm_s8_uint.states.fail_incc.pass_zero.dfail_wrap.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d16_unorm_s8_uint.states.fail_inv.pass_zero.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d16_unorm_s8_uint_separate_layouts.states.fail_decc.pass_decw.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d16_unorm_s8_uint_separate_layouts.states.fail_zero.pass_keep.dfail_inv.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint.states.fail_decc.pass_wrap.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint.states.fail_keep.pass_decw.dfail_zero.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint.states.fail_repl.pass_wrap.dfail_wrap.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint.states.fail_wrap.pass_wrap.dfail_keep.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint_separate_layouts.states.fail_keep.pass_inv.dfail_inv.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d24_unorm_s8_uint_separate_layouts.states.fail_wrap.pass_decc.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d32_sfloat_s8_uint.states.fail_decc.pass_incc.dfail_incc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d32_sfloat_s8_uint_separate_layouts.states.fail_decc.pass_zero.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d32_sfloat_s8_uint_separate_layouts.states.fail_keep.pass_repl.dfail_inv.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.d32_sfloat_s8_uint_separate_layouts.states.fail_wrap.pass_zero.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.s8_uint.states.fail_decw.pass_repl.dfail_decc.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.s8_uint.states.fail_incc.pass_incc.dfail_repl.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.s8_uint.states.fail_inv.pass_repl.dfail_decw.comp_greater_or_equal,Fail
dEQP-VK.pipeline.fast_linked_library.stencil.nocolor.format.s8_uint.states.fail_zero.pass_incc.dfail_inv.comp_greater_or_equal,Fail
