23.1,2023-06-21,23.1.3,Eric Engestrom
,2023-07-05,23.1.4,Eric Engestrom
,2023-07-19,23.1.5,Eric Engestrom
,2023-08-02,23.1.6,Eric Engestrom,Last planned 23.1.x release
23.2,2023-07-12,23.2.0-rc1,Dylan Baker,23.2 branchpoint
,2023-07-19,23.2.0-rc2,Dylan Baker
,2023-07-26,23.2.0-rc3,Dylan Baker
,2023-08-02,23.2.0-rc4,Dylan Baker,or 23.2.0 final
